Shooter,Goalie,Shooter_Year,Goalie_Year
Marcus Foligno,Anthony Stolarz,2021,2021
Brad Marchand,Braden Holtby,2021,2021
Luke Glendening,Jeremy Swayman,2021,2021
Jake DeBrusk,Braden Holtby,2021,2021
Andrew Ladd,Dustin Tokarski,2021,2021
Cody Eakin,Karel Vejmelka,2021,2021
Tage Thompson,Karel Vejmelka,2021,2021
Nick Schmaltz,Dustin Tokarski,2021,2021
Arttu Ruotsalainen,Karel Vejmelka,2021,2021
Wayne Simmonds,Anton Forsberg,2021,2021
Alexander Kerfoot,Anton Forsberg,2021,2021
Josh Norris,Jack Campbell,2021,2021
Michael Bunting,Anton Forsberg,2021,2021
Chris Kreider,Jake Allen,2021,2021
Jonathan Drouin,Igor Shesterkin,2021,2021
Alexis Lafrenière,Jake Allen,2021,2021
Robby Fabbri,Jaroslav Halak,2021,2021
Conor Garland,Thomas Greiss,2021,2021
Filip Zadina,Jaroslav Halak,2021,2021
Sam Bennett,Ilya Sorokin,2021,2021
Sam Bennett,Ilya Sorokin,2021,2021
Anthony Duclair,Ilya Sorokin,2021,2021
Oliver Wahlstrom,Sergei Bobrovsky,2021,2021
Sam Bennett,Ilya Sorokin,2021,2021
Aleksander Barkov,Ilya Sorokin,2021,2021
Teddy Blueger,Marc-Andre Fleury,2021,2021
Drew O'Connor,Marc-Andre Fleury,2021,2021
Brock McGinn,Marc-Andre Fleury,2021,2021
Danton Heinen,Marc-Andre Fleury,2021,2021
Patrick Kane,Tristan Jarry,2021,2021
Jason Zucker,Kevin Lankinen,2021,2021
Kirby Dach,Tristan Jarry,2021,2021
Alex Ovechkin,Andrei Vasilevskiy,2021,2021
Mikhail Sergachev,Vitek Vanecek,2021,2021
Steven Stamkos,Vitek Vanecek,2021,2021
Brandon Tanev,Elvis Merzlikins,2021,2021
Eric Robinson,Philipp Grubauer,2021,2021
Patrik Laine,Philipp Grubauer,2021,2021
Jesper Fast,Juuse Saros,2021,2021
Ryan Johansen,Frederik Andersen,2021,2021
Andrei Svechnikov,Juuse Saros,2021,2021
Filip Forsberg,Frederik Andersen,2021,2021
Justin Faulk,Darcy Kuemper,2021,2021
Brayden Schenn,Darcy Kuemper,2021,2021
David Perron,Darcy Kuemper,2021,2021
Andre Burakovsky,Jordan Binnington,2021,2021
David Perron,Darcy Kuemper,2021,2021
Tyson Jost,Jordan Binnington,2021,2021
J.T. Compher,Jordan Binnington,2021,2021
Derek Ryan,Jacob Markstrom,2021,2021
Connor McDavid,Jacob Markstrom,2021,2021
Connor McDavid,Jacob Markstrom,2021,2021
Andrew Mangiapane,Mike Smith,2021,2021
Elias Lindholm,Mike Smith,2021,2021
Jesse Puljujarvi,Jacob Markstrom,2021,2021
Viktor Arvidsson,Cam Talbot,2021,2021
Frederick Gaudreau,Jonathan Quick,2021,2021
Victor Rask,Jonathan Quick,2021,2021
Ryan Hartman,Jonathan Quick,2021,2021
Anze Kopitar,Cam Talbot,2021,2021
Pierre-Luc Dubois,Adin Hill,2021,2021
Andrew Copp,Adin Hill,2021,2021
Andrew Cogliano,Connor Hellebuyck,2021,2021
Jasper Weatherby,Connor Hellebuyck,2021,2021
Tomas Hertl,Connor Hellebuyck,2021,2021
Rudolfs Balcers,Connor Hellebuyck,2021,2021
Jansen Harkins,Adin Hill,2021,2021
Michael Raffl,Filip Gustavsson,2021,2021
Nick Paul,Anton Khudobin,2021,2021
Chris Tierney,Anton Khudobin,2021,2021
Chris Tierney,Anton Khudobin,2021,2021
Joe Pavelski,Filip Gustavsson,2021,2021
Mika Zibanejad,Jack Campbell,2021,2021
Michael Bunting,Igor Shesterkin,2021,2021
Artemi Panarin,Jack Campbell,2021,2021
Claude Giroux,Philipp Grubauer,2021,2021
Travis Konecny,Philipp Grubauer,2021,2021
Derick Brassard,Philipp Grubauer,2021,2021
Ryan Ellis,Philipp Grubauer,2021,2021
Justin Braun,Philipp Grubauer,2021,2021
Carson Soucy,Carter Hart,2021,2021
Joel Farabee,Chris Driedger,2021,2021
Blake Coleman,John Gibson,2021,2021
Cam Fowler,Jacob Markstrom,2021,2021
Elias Lindholm,John Gibson,2021,2021
Rickard Rakell,Jacob Markstrom,2021,2021
Jamie Drysdale,Jacob Markstrom,2021,2021
Clayton Keller,Jordan Binnington,2021,2021
Pavel Buchnevich,Carter Hutton,2021,2021
Lawson Crouse,Jordan Binnington,2021,2021
Justin Faulk,Carter Hutton,2021,2021
Jordan Kyrou,Carter Hutton,2021,2021
Klim Kostin,Carter Hutton,2021,2021
Klim Kostin,Carter Hutton,2021,2021
Jordan Kyrou,Carter Hutton,2021,2021
Christian Fischer,Jordan Binnington,2021,2021
Travis Boyd,Jordan Binnington,2021,2021
Ivan Barbashev,Karel Vejmelka,2021,2021
Bo Horvat,Craig Anderson,2021,2021
Kyle Okposo,Thatcher Demko,2021,2021
Justin Dowling,Craig Anderson,2021,2021
Zemgus Girgensons,Thatcher Demko,2021,2021
Jeff Skinner,Thatcher Demko,2021,2021
Tage Thompson,Thatcher Demko,2021,2021
Jonathan Dahlen,Jake Allen,2021,2021
Jonathan Dahlen,Jake Allen,2021,2021
Erik Karlsson,Jake Allen,2021,2021
Timo Meier,Jake Allen,2021,2021
Kevin Labanc,Jake Allen,2021,2021
Lucas Raymond,Joonas Korpisalo,2021,2021
Tyler Bertuzzi,Joonas Korpisalo,2021,2021
Boone Jenner,Thomas Greiss,2021,2021
Brandon Montour,Andrei Vasilevskiy,2021,2021
Brayden Point,Spencer Knight,2021,2021
Aleksander Barkov,Andrei Vasilevskiy,2021,2021
Anton Lundell,Andrei Vasilevskiy,2021,2021
Dawson Mercer,Joey Daccord,2021,2021
Damon Severson,Joey Daccord,2021,2021
Riley Sheahan,Jonathan Bernier,2021,2021
Jimmy Vesey,Joey Daccord,2021,2021
Jared McCann,Jonathan Bernier,2021,2021
Michael Raffl,Tristan Jarry,2021,2021
John Marino,Braden Holtby,2021,2021
Joe Pavelski,Tristan Jarry,2021,2021
Jeff Carter,Braden Holtby,2021,2021
Alexander Radulov,Tristan Jarry,2021,2021
Evgeny Kuznetsov,Darcy Kuemper,2021,2021
J.T. Compher,Ilya Samsonov,2021,2021
Nick Jensen,Darcy Kuemper,2021,2021
Darren Helm,Ilya Samsonov,2021,2021
Anthony Mantha,Darcy Kuemper,2021,2021
Evgeny Kuznetsov,Darcy Kuemper,2021,2021
Nic Dowd,Darcy Kuemper,2021,2021
Mikko Rantanen,Ilya Samsonov,2021,2021
Anthony Beauvillier,Marc-Andre Fleury,2021,2021
Oliver Wahlstrom,Marc-Andre Fleury,2021,2021
Oliver Wahlstrom,Marc-Andre Fleury,2021,2021
Cal Clutterbuck,Marc-Andre Fleury,2021,2021
MacKenzie Entwistle,Ilya Sorokin,2021,2021
Anze Kopitar,Juuse Saros,2021,2021
Matt Duchene,Cal Petersen,2021,2021
Tanner Jeannot,Cal Petersen,2021,2021
Kyle Connor,Cam Talbot,2021,2021
Mats Zuccarello,Connor Hellebuyck,2021,2021
Kyle Connor,Cam Talbot,2021,2021
Joel Eriksson Ek,Connor Hellebuyck,2021,2021
Josh Morrissey,Cam Talbot,2021,2021
Mats Zuccarello,Connor Hellebuyck,2021,2021
Pierre-Luc Dubois,Cam Talbot,2021,2021
Andrew Copp,Cam Talbot,2021,2021
Marcus Foligno,Connor Hellebuyck,2021,2021
Joel Eriksson Ek,Connor Hellebuyck,2021,2021
Joel Eriksson Ek,Connor Hellebuyck,2021,2021
Kevin Shattenkirk,Mike Smith,2021,2021
Zack Kassian,Anthony Stolarz,2021,2021
Connor McDavid,Anthony Stolarz,2021,2021
Sam Steel,Mike Smith,2021,2021
Leon Draisaitl,Anthony Stolarz,2021,2021
Nicolas Deslauriers,Mike Smith,2021,2021
Sam Steel,Mike Smith,2021,2021
Zack Kassian,Anthony Stolarz,2021,2021
Evan Bouchard,Anthony Stolarz,2021,2021
Kevin Shattenkirk,Mikko Koskinen,2021,2021
Cam Atkinson,Jeremy Swayman,2021,2021
Karson Kuhlman,Martin Jones,2021,2021
Joel Farabee,Jeremy Swayman,2021,2021
Scott Laughton,Jeremy Swayman,2021,2021
Taylor Hall,Martin Jones,2021,2021
Brad Marchand,Martin Jones,2021,2021
Cam Atkinson,Jeremy Swayman,2021,2021
Travis Konecny,Jeremy Swayman,2021,2021
William Karlsson,Jordan Binnington,2021,2021
Brandon Saad,Robin Lehner,2021,2021
Vladimir Tarasenko,Robin Lehner,2021,2021
Sebastian Aho,Jake Allen,2021,2021
Andrei Svechnikov,Jake Allen,2021,2021
Tyler Toffoli,Frederik Andersen,2021,2021
Jesperi Kotkaniemi,Jake Allen,2021,2021
Drake Batherson,James Reimer,2021,2021
Logan Couture,Matt Murray,2021,2021
Kevin Labanc,Matt Murray,2021,2021
Elias Lindholm,Alex Nedeljkovic,2021,2021
Andrew Mangiapane,Alex Nedeljkovic,2021,2021
Sam Reinhart,Jonas Johansson,2021,2021
Mikko Rantanen,Sergei Bobrovsky,2021,2021
Sam Bennett,Jonas Johansson,2021,2021
Carter Verhaeghe,Jonas Johansson,2021,2021
Anthony Mantha,Scott Wedgewood,2021,2021
Dmitry Orlov,Scott Wedgewood,2021,2021
